Gene_names,Fold.Change,pvalue
Acadvl,2.690923985,0.061340045
Iglc2,-2.476742681,0.062779062
Col4a2,3.009315514,0.063094147
,-1.226409348,0.063517616
Fars2,3.483347315,0.06509795
Pcca,3.395857319,0.065274123
Rab1A;Rab10;Rab1b;Rab13;Rab8b;Rab8a;Rab15,3.751367333,0.067345539
Ighg1,-1.026076015,0.067509787
Cfh,-1.535076015,0.068042411
Mrps22,4.728413981,0.06844277
Idh3g,5.700823985,0.068652158
Igk-V19-17,-0.991409348,0.068674359
,-0.962599317,0.069366335
Gpc6,-1.000276015,0.069415463
Coq9,4.115256302,0.071611457
Vdac2,5.545647315,0.071728911
Mut,4.575413981,0.072734699
Hist1h2bp;Hist1h2bk;Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bb;Hist1h2bm;Hist1h2bf;Hist1h2ba;Hist3h2ba;Hist3h2bb;Hist2h2be,-1.085442681,0.073421554
Mtco2,1.460057319,0.074043109
Acot2,3.351890652,0.074840786
Csrp3,4.197182181,0.074970325
Gstz1,3.502090679,0.075048847
Hnrnph1;Hnrnph2,1.721867349,0.075297112
Taco1,6.119859608,0.076355879
Ces1c,-4.499146027,0.076943638
,-1.022240985,0.077172509
Cox6b1,2.526957319,0.077486388
Cox5b,3.522723985,0.078208348
Pdhx,3.192282181,0.079482563
Myl2,2.171823985,0.079579273
A2m,-1.152776015,0.080974334
Ttr,-2.752879361,0.081504735
Hspa8,-1.449842681,0.081837127
Alb,-0.953609348,0.084656686
Hist1h1e;Hist1h1t;Hist1h1c;Hist1h1d,4.021642941,0.084950108
C4b,-1.285076015,0.084989537
Rpl36a,2.41953076,0.086226454
,-1.139176015,0.08766835
Hsd17b10,1.992782181,0.087690674
Serpina1b;Serpina1e,-1.218042681,0.087784835
Ppa2,3.524521707,0.0908238
Prdx4,-3.456821165,0.091040625
Apcs,-1.328442681,0.091709502
Serpina1a;Serpina1c,-1.146242681,0.093965002
Hsp90aa1,-1.316880388,0.095248159
,-0.697342681,0.096968791
Cfb,-2.090709348,0.097321991
Anxa2,-4.152346027,0.098792329
Gcdh,2.529132181,0.102873047
Lpl,3.012415514,0.104109837
Itih4,-0.701142681,0.104637884
,-0.608642681,0.107467159
,-1.436176015,0.107875574
Ndufa12,5.16958076,0.108900987
Uqcrh,5.213013981,0.112381025
Bola3,3.929113981,0.113327475
Hba,1.364723985,0.113919444
Lonp1,2.603115514,0.115306073
,-1.380176015,0.115410128
C4bpa,-3.569771165,0.117064797
Psmb6,-2.809410997,0.118131066
Eno1,-2.032276015,0.118222919
Hspa5,1.178757319,0.118903722
Actn2,2.442090652,0.118990513
Aldh6a1,5.38550972,0.11947779
Igh-3,-0.647642681,0.119808987
Hpx,-1.204942681,0.12193694
Rpl23,2.61095504,0.123191373
Slc25a13,2.915490652,0.123838177
C1qb,-1.424565984,0.12399163
,-0.841509348,0.128668701
Pmpcb,2.949780648,0.130016763
Tf,-1.719976015,0.1317573
Mccc1,3.433523985,0.132143386
Apob,-2.877346027,0.132422172
Pkp1,-4.038030388,0.132518504
Col3a1,4.184474012,0.134103804
Ppif,3.48595504,0.13414927
Cs,5.246423985,0.137769678
Fgg,-0.602342681,0.141582553
Fhl2,1.642423985,0.14310911
Dlst,5.741357345,0.143979649
Lap3,2.919697427,0.145238503
Lin9,-1.413375876,0.148616545
,-2.673863722,0.14878808
Ogdh,4.117157319,0.157720857
Gnb2l1,1.428590652,0.161290443
Mug1,-0.840442681,0.16193095
Rps27l;Rps27,2.756413981,0.164942521
,-5.295080388,0.169190278
Serpina3n,-1.214172193,0.169381097
Gm5629,-5.149655919,0.173161913
,-0.875742681,0.176172224
Rpl21,3.439807345,0.176205157
Rpl8,1.533823985,0.176522926
,-1.101009348,0.177671515
Ica,-0.925064287,0.17830876
Rpl27a,2.621517349,0.178576708
Tubb5;Tubb2b;Tubb2a;Tubb3,-0.651442681,0.18021131
,-1.186142681,0.181973048
Hint2,3.480964093,0.182646435
Glud1,2.748947427,0.182689701
Aplf,-1.595173476,0.190845406
Ndufa11,1.892782181,0.194603081
Tpi1,-1.286242681,0.197794698
,-0.784642681,0.199354323
Ckm,2.020023985,0.20527682
Rpl3,2.080057319,0.210942171
Rpl35a,3.111647315,0.213377278
Hsp90b1,1.470190652,0.21515479
Lama5,3.089098404,0.215529934
Myh9,-0.916542681,0.22653461
Mrps26,2.001765514,0.227660936
Ldhb,-1.666109348,0.227918623
Rpl10;Rpl10l,1.173623985,0.242366855
Hp1bp3,1.578732181,0.246388591
Sfn,-2.532876015,0.248637246
Rpl34,3.546780648,0.251925278
Clu,-0.872709348,0.263312558
Fn1,0.493157319,0.272415435
Gm10881,-0.712942681,0.273009143
Col1a2,-4.937865984,0.277198455
Fgb,-0.701309348,0.282591623
F2,-0.704909348,0.290243139
Lamb1,1.568897427,0.297192733
Ddi2,-3.007546027,0.297223296
Eno3,3.309426274,0.297565024
Slc27a1,-0.438076015,0.298780286
Rpl7,1.646267349,0.298940576
Ttn,3.642390652,0.301420018
Itih3,-0.775609348,0.307059346
Actg1;Actb,-0.803109348,0.311283249
Fbn1,2.867348848,0.312072451
Rps3a,1.264190652,0.322199036
Lars2,2.476977807,0.326344482
Hrg,-0.873709348,0.330643418
Serpinc1,-1.14414028,0.331443384
Col1a1,-4.94727202,0.332256163
,-0.483509348,0.332903701
Gapdh,-0.940476015,0.334667351
,-2.961916378,0.344065698
Syne2,-0.693429975,0.34854179
Ldha,-0.716265984,0.348937926
,-0.762309348,0.359619737
Vars,-0.997880028,0.373900966
Wars2,1.104280205,0.373900966
Tagln2;Tagln3,-1.685772302,0.373900966
Mrpl42,1.438990663,0.373900966
Pdk1,1.766523997,0.373900966
Nid2,0.776090663,0.373900966
,1.35755733,0.373900966
Pam16,1.300156474,0.373900966
Srsf1,1.672589808,0.373900966
Hnrnpa3,-0.800513361,0.373900966
Serpina10,-1.414738969,0.373900966
Me3;Me2,1.090090663,0.373900966
Abhd11,1.038546872,0.373900966
Rtn4ip1,1.711313538,0.373900966
Krt28,-1.934513361,0.373900966
Clybl,1.260023997,0.373900966
Ndufaf3,1.215390663,0.373900966
Mrpl11,1.13245733,0.373900966
Myh7b,2.066446872,0.373900966
Uqcrb,1.826613538,0.373900966
Nrap,1.145456474,0.373900966
Sdhc,1.732889808,0.373900966
Dap3,1.934523141,0.373900966
Ppia,-2.341305635,0.373900966
Hnrnpk,-1.168972302,0.373900966
Ndufv3,2.259923997,0.373900966
,-2.971851027,0.373900966
Mrpl39,1.475190663,0.373900966
Hnrnpf,1.312323997,0.373900966
Nceh1,0.874623997,0.373900966
Rps9,0.64385733,0.373900966
Hibadh,1.32985733,0.373900966
Rplp0,1.332023997,0.373900966
Rnmtl1,1.128890663,0.373900966
Nadk2,1.045290663,0.373900966
Cat,1.178580205,0.373900966
H1f0,1.016446872,0.373900966
Timm21,1.131380205,0.373900966
Fastkd2,0.797380205,0.373900966
Ecsit,1.091880205,0.373900966
Serpinb13,1.537213538,0.373900966
Sumo2;Sumo3,1.058089808,0.373900966
Ccpg1,1.077356474,0.373900966
Mrpl4,1.188256474,0.373900966
Pdk4,1.190589808,0.373900966
Rps28,1.300189808,0.373900966
Rps13,1.316556474,0.373900966
Pgk1;Pgk2,1.421989808,0.373900966
Gtpbp10,1.446789808,0.373900966
Acot1,2.063656474,0.373900966
Col6a6,2.251289808,0.373900966
Aprt,-1.119084361,0.373900966
Cfl1,-1.816438969,0.373900966
Myl6;Myl6b,-1.799105635,0.373900966
Nmnat3,2.068213538,0.373900966
Apoa2,2.214513538,0.373900966
Ywhaz,-2.608772302,0.373900966
Mrps16,1.104990663,0.373900966
Rpl12,1.571823997,0.373900966
Abcb8,1.18675733,0.373900966
Ctsb,1.081289808,0.373900966
Eral1,1.258723141,0.373900966
Ran,1.709623141,0.373900966
Anxa1,-1.633705635,0.373900966
Serpinb5,-1.782138969,0.373900966
Cdh13,1.57315733,0.373900966
Actn4,-1.768938969,0.373900966
Hsd17b4,1.377090663,0.373900966
Flnc,1.445590663,0.373900966
Cd5l,0.706480205,0.373900966
Mdh1,1.307923141,0.373900966
Speg,0.857156474,0.373900966
Dsg2,0.398480205,0.373900966
Apoa1,-0.664342681,0.382416833
